[15:16:42] 📁 Output folder selected: Scrolldump
[2025-08-11T15:18:23.293Z] Output set: Scrolldump
[2025-08-11T15:18:43.923Z] tick found 61 candidate file(s)
[2025-08-11T15:18:43.989Z] ✓ wrote b9cadd4c7700f664140e5b5b28b9092fbf834aa43db815796a9cf42e37f3e6ec.json (559 words, H=0.812, K=0)
[2025-08-11T15:18:44.054Z] ✓ wrote adba99b48893b4b9a1b663d7edeb6957478aa2355eb3ba7fc4d071123f19f2dc.json (1801 words, H=0.775, K=1)
[2025-08-11T15:18:44.121Z] ✓ wrote 7f9f10440497415d28d03392906609143b7ace8d279d247d47f32867a8a47d7c.json (2488 words, H=0.686, K=1)
[2025-08-11T15:18:44.179Z] ✓ wrote 220c3cc722ac2ea64495adfda0696bee91fab2df9b65071f8f593c70abcb3207.json (456 words, H=0.575, K=0)
[2025-08-11T15:18:44.237Z] ✓ wrote fd3c7e784a430bde72639687a543397c57f5bda026e6d46962cf1268becae2b1.json (826 words, H=0.785, K=0)
[2025-08-11T15:18:44.304Z] ✓ wrote a9b3efc0bf94a840cbb779c979466efd5144b56e8263c917c16d7bceac707199.json (4401 words, H=0.778, K=27)
[2025-08-11T15:18:44.375Z] skip (trivial) # Save the provided AEON Offline Re.html
[2025-08-11T15:18:44.442Z] ✓ wrote 3ca925657822a0d42b9b231d17c0a5987fdac24ac4884b6663677dc4c7d371dc.json (2790 words, H=0.748, K=3)
[2025-08-11T15:18:44.509Z] ✓ wrote 3ca925657822a0d42b9b231d17c0a5987fdac24ac4884b6663677dc4c7d371dc.json (2790 words, H=0.748, K=3)
[2025-08-11T15:18:44.573Z] ✓ wrote 60f10f72890483799f2196484c74ca3a9a7af1c26e7b1a4826e5438004f21709.json (737 words, H=0.793, K=4)
[2025-08-11T15:18:44.636Z] ✓ wrote 24f0a1b4cd332697bd2e356f2f73f739fe2f525964950d7c86a32605b2c6ba44.json (1528 words, H=0.761, K=8)
[2025-08-11T15:18:44.700Z] ✓ wrote 9a0fe1f03f7251ac48af49d524499a2a6252e996824003572cd051713cb680ea.json (1280 words, H=0.767, K=6)
[2025-08-11T15:18:44.764Z] ✓ wrote 9a0fe1f03f7251ac48af49d524499a2a6252e996824003572cd051713cb680ea.json (1280 words, H=0.767, K=6)
[2025-08-11T15:18:44.825Z] ✓ wrote fa67da49c3810bcf714de384a23342f99f1439204f1d5689bf3f45fc447a529b.json (1105 words, H=0.755, K=4)
[2025-08-11T15:18:44.885Z] ✓ wrote fa67da49c3810bcf714de384a23342f99f1439204f1d5689bf3f45fc447a529b.json (1105 words, H=0.755, K=4)
[2025-08-11T15:18:44.951Z] ✓ wrote fa67da49c3810bcf714de384a23342f99f1439204f1d5689bf3f45fc447a529b.json (1105 words, H=0.755, K=4)
[2025-08-11T15:18:45.023Z] ✓ wrote 33f61337108a1a3331fe7bc97dd02682f15e17108eb8846c84e672ec383aec81.json (2093 words, H=0.758, K=11)
[2025-08-11T15:18:45.093Z] ✓ wrote b1997511dec54da6c3d883e5f93c5393256976dfc1190020de74ff499f8cd773.json (1184 words, H=0.564, K=0)
[2025-08-11T15:18:45.159Z] ✓ wrote a360e0575791133e73f23f93eee75a0b4a2302d390c82dbcca1c6b19ea828a12.json (591 words, H=0.512, K=0)
[2025-08-11T15:18:45.225Z] ✓ wrote cd783c69f950cc254c6962e3a371efef12b0e0a41faeb02c959f434cf82346a6.json (1548 words, H=0.773, K=16)
[2025-08-11T15:18:45.289Z] ✓ wrote 76c27db7f7b5d4f1d88efd3dea05e54e753e6b692f80be875f66641e63b5ac97.json (1896 words, H=0.713, K=12)
[2025-08-11T15:18:45.361Z] ✓ wrote 28beb73ec2933475e78d867774665a693bc7c1826d75aedcf98647796b5681ae.json (2474 words, H=0.69, K=9)
[2025-08-11T15:18:45.451Z] ✓ wrote 28beb73ec2933475e78d867774665a693bc7c1826d75aedcf98647796b5681ae.json (2474 words, H=0.69, K=9)
[2025-08-11T15:18:45.531Z] ✓ wrote 76c27db7f7b5d4f1d88efd3dea05e54e753e6b692f80be875f66641e63b5ac97.json (1896 words, H=0.713, K=12)
[2025-08-11T15:18:45.602Z] ✓ wrote f3566dec267d4a6c92da61197c101557a6073c14f4b453a11706bacc5b60df78.json (1736 words, H=0.707, K=13)
[2025-08-11T15:18:45.678Z] ✓ wrote 7c7549ed4e2adc14d60df3c14c9006e88ec84c34e7c2b7595292fe577c13cfb9.json (2402 words, H=0.599, K=8)
[2025-08-11T15:18:45.761Z] ✓ wrote 677a31adec57e95057d924d754697a1c52c421e21332ef004715de52b8591098.json (1436 words, H=0.63, K=7)
[2025-08-11T15:18:45.842Z] ✓ wrote 47e055c5f0eceeff2bf6d2de16d29e0ee463654d776509294a388787b02913e9.json (2196 words, H=0.575, K=2)
[2025-08-11T15:18:45.927Z] ✓ wrote 4a846603a8e06ef85ce3841b4803cbd6cc346c28ea870fa503b421e31b4828ed.json (1819 words, H=0.741, K=6)
[2025-08-11T15:18:46.005Z] ✓ wrote 93ba2326effa2c7be15de82e3224b2f768c79fe43d525bc1964dad6e6c0ed48b.json (1646 words, H=0.573, K=7)
